id,batch,category,question_text,option_code,option_text,branch_target,weight
final_tech_02,final,work_type,"Are you more comfortable working with software tools or physical systems?",C,"Both software and hardware integration",systems_engineering,2
final_tech_02,final,work_type,"Are you more comfortable working with software tools or physical systems?",D,"Emerging technologies and AI",ai_technology,2
final_business_01,final,business_focus,"Do you lean toward starting your own business or growing within a company?",A,"Starting my own business",entrepreneurship,2
final_business_01,final,business_focus,"Do you lean toward starting your own business or growing within a company?",B,"Growing within established companies",corporate_management,2
final_business_01,final,business_focus,"Do you lean toward starting your own business or growing within a company?",C,"Consulting and advisory roles",business_consulting,2
final_business_01,final,business_focus,"Do you lean toward starting your own business or growing within a company?",D,"Freelance and project-based work",freelance_business,2
final_business_02,final,specialization,"Do you prefer roles in marketing, finance, operations, or consulting?",A,"Marketing and brand management",marketing,2
final_business_02,final,specialization,"Do you prefer roles in marketing, finance, operations, or consulting?",B,"Finance and investment analysis",finance,2
final_business_02,final,specialization,"Do you prefer roles in marketing, finance, operations, or consulting?",C,"Operations and supply chain management",operations,2
final_business_02,final,specialization,"Do you prefer roles in marketing, finance, operations, or consulting?",D,"Strategy consulting and advisory",consulting,2
final_arts_01,final,arts_focus,"Do you prefer digital design, traditional media, or performance arts?",A,"Digital design and UI/UX",digital_design,2
final_arts_01,final,arts_focus,"Do you prefer digital design, traditional media, or performance arts?",B,"Traditional media and print",traditional_media,2
final_arts_01,final,arts_focus,"Do you prefer digital design, traditional media, or performance arts?",C,"Performance and live arts",performing_arts,2
final_arts_01,final,arts_focus,"Do you prefer digital design, traditional media, or performance arts?",D,"Mixed media and experimental arts",experimental_arts,2
final_arts_02,final,career_path,"Do you see yourself freelancing, working for media companies, or self-publishing?",A,"Freelancing and independent projects",freelance_arts,2
final_arts_02,final,career_path,"Do you see yourself freelancing, working for media companies, or self-publishing?",B,"Working for established media companies",media_corporate,2
final_arts_02,final,career_path,"Do you see yourself freelancing, working for media companies, or self-publishing?",C,"Self-publishing and content creation",content_creation,2
final_arts_02,final,career_path,"Do you see yourself freelancing, working for media companies, or self-publishing?",D,"Teaching and arts education",arts_education,2
final_health_01,final,health_focus,"Would you like clinical roles (doctor, nurse) or community services?",A,"Clinical medicine and patient care",medicine,2
final_health_01,final,health_focus,"Would you like clinical roles (doctor, nurse) or community services?",B,"Nursing and bedside care",nursing,2
final_health_01,final,health_focus,"Would you like clinical roles (doctor, nurse) or community services?",C,"Community health and outreach",community_health,2
final_health_01,final,health_focus,"Would you like clinical roles (doctor, nurse) or community services?",D,"Health research and policy",health_research,2
final_health_02,final,service_type,"Do you prefer teaching, counseling, administration, or direct patient care?",A,"Teaching and health education",health_education,2
final_health_02,final,service_type,"Do you prefer teaching, counseling, administration, or direct patient care?",B,"Counseling and mental health support",counseling_psychology,2
final_health_02,final,service_type,"Do you prefer teaching, counseling, administration, or direct patient care?",C,"Healthcare administration and management",health_admin,2
final_health_02,final,service_type,"Do you prefer teaching, counseling, administration, or direct patient care?",D,"Direct patient care and treatment",clinical_care,2 
